course_id,price,num_lectures,content_duration,year_p,month_p,date_p,is_success,level_enc,is_paid_False,is_paid_True,business_subject,graphic_subject,music_subject,webdev_subject
644020,85,40,10.5,2015,11,26,0,0,0,1,1,0,0,0
1250742,75,45,6.0,2017,6,14,0,1,0,1,1,0,0,0
54246,45,18,1.0,2013,5,16,0,2,0,1,1,0,0,0
805630,25,9,2.0,2016,4,1,0,1,0,1,1,0,0,0
315716,20,49,8.5,2014,10,14,0,0,0,1,1,0,0,0
1124276,80,12,0.73,2017,3,13,0,0,0,1,1,0,0,0
1227792,200,40,8.5,2017,5,29,0,0,0,1,1,0,0,0
769340,150,29,2.0,2016,2,25,0,0,0,1,1,0,0,0
737182,20,25,3.0,2016,5,26,0,0,0,1,1,0,0,0
960786,85,24,0.65,2016,11,28,0,0,0,1,1,0,0,0
657050,20,13,1.5,2015,11,12,0,0,0,1,1,0,0,0
1196700,45,27,3.5,2017,5,31,0,1,0,1,1,0,0,0
1137310,25,23,2.0,2017,3,31,0,1,0,1,1,0,0,0
632368,30,7,0.62,2015,10,6,1,1,0,1,1,0,0,0
571730,200,40,5.5,2015,8,10,1,1,0,1,1,0,0,0
720994,115,45,4.5,2016,1,29,0,0,0,1,1,0,0,0
1080466,30,73,5.5,2017,2,6,0,0,0,1,1,0,0,0
907416,45,16,2.0,2016,8,22,0,0,0,1,1,0,0,0
1062144,130,29,1.5,2017,5,1,0,1,0,1,1,0,0,0
1097486,140,38,3.0,2017,3,7,0,1,0,1,1,0,0,0
396890,30,15,1.5,2015,1,27,1,1,0,1,1,0,0,0
945194,20,28,1.0,2016,9,12,0,1,0,1,1,0,0,0
598846,140,52,5.0,2015,10,5,0,1,0,1,1,0,0,0
950750,20,14,1.0,2016,9,12,0,3,0,1,1,0,0,0
740764,85,17,2.0,2016,5,17,0,1,0,1,1,0,0,0
739972,20,14,1.0,2016,1,26,0,0,0,1,1,0,0,0
464002,20,14,1.0,2015,4,1,0,3,0,1,1,0,0,0
343818,25,36,7.5,2014,11,18,0,1,0,1,1,0,0,0
434100,40,49,4.5,2015,3,8,0,0,0,1,1,0,0,0
158140,20,5,1.0,2014,2,11,0,0,0,1,1,0,0,0
1141708,100,121,11.0,2017,4,13,0,1,0,1,1,0,0,0
1240408,175,27,1.0,2017,7,4,0,1,0,1,1,0,0,0
557208,40,37,3.5,2015,8,4,0,1,0,1,1,0,0,0
1178150,20,8,1.0,2017,4,17,0,0,0,1,1,0,0,0
93850,25,13,1.5,2013,10,2,0,0,0,1,1,0,0,0
429080,20,11,2.0,2017,3,24,0,2,0,1,1,0,0,0
